CNPJ Entidade	Nome Entidade	Número Convênio	Órgão Concedente	Motivo Impedimento
00057491000107	CONSORCIO INTERMUNICIPAL DO VALE DO JIQUIRICA	401004	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00062712000135	APAE ASSOC.DE PAIS E AMIGOS DOS EXCEPCIONAIS C.VERDE	526939	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	400364	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	470940	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECUÇÃO
00084400000122	OBRAS DE ASSISTENCIA SOCIAL SAO RAFAEL	077797	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
00088022000155	UNIAO PAULISTA DE KARAOKE	637180	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
00089788000154	FUND DE AP A PESQ AG DES E TREIN DE MAO DE OBRA DE PTU	114361	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
00093821000110	INSTITUTO BRASILEIRO DA FLORICULTURA IBRAFLOR	113965	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA EXECUÇÃO
00117144000122	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS S A GRAMA	466007	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
00129413000170	INST DE PESQUISAS SISTEMICAS E DESENV DE REDES SOCIAIS	708567	PRESIDENCIA DA REPUBLICA	SICONV (MOTIVO NÃO ESPECIFICADO)
00145206000100	COMITE INTERTRIBAL - MEMORIA E CIENCIA INDIGENA (ITC)	707376	MINISTERIO DO ESPORTE	SICONV (MOTIVO NÃO ESPECIFICADO)
